alfa_sel	2070	xl	1700	07.10.2011_12:13	poluver	20702070
climber	0013_d082_s01	30	2800	25.03.2011_09:56	j	0013d082s01
muray	8347	46	2300	07.10.2011_12:30	bruki_girl	83478347
trebien	762_seraja	4	1500	06.03.2011_10:10	bluza	762sreaja
norm	2237	44	1950	16.10.2009_10:26	jubka	2919036033785
lacarino	9856	28	2500	06.10.2011_10:40	j_girl	98569856
bigrey	0086026	l	950	11.09.2009_10:24	maika_girl	FW076009304109L_FW076009304109S_FW076009304109M
into	8020_seraja	m	1200	22.12.2010_12:50	maika_man	8020802222
boss	158-11	36	1700	01.11.2011_11:15	j	158-11
mirac	1812	38	2300	19.02.2011_09:17	j	18121812
