robot_fish	8115	34	1600	17.01.2012_09:34	j	81158115
dvespid	096	32	1600	25.12.2011_10:16	j	096096096
climber	127_o099_w01	46	1400	18.03.2012_14:47	batnik	127o099w01
climber	127_o099_s01	46	1400	18.03.2012_14:47	batnik	127_o09901
climber	116_o099_w01	2xl	1350	18.03.2012_14:45	batnik	116o099w01
climber	0021_L063_s08	48	4900	13.03.2012_12:47	pidjak	0021L063s08
nexx	9455	46	2900	30.05.2011_09:49	plat'e	945594559455
jordan_black_girl	076-178	36	2250	02.09.2009_11:06	j	67348839954
cardellino	2496	29	1250	27.10.2009_09:17	j	27034897
verda	418019	46	2700	06.11.2010_11:44	plat'e	418019418019
