climber	0214_s118	33	2700	25.03.2011_09:58	j	0214s118
climber	0148_g120	34	2300	25.03.2011_10:01	j	0148g120
lamborghini	L00179-T5_golub	34	950	17.02.2010_12:34	j	L00179-T5
ravel	2612	38	1200	17.04.2010_23:34	jubka	hjfjjdf67678
jordan	076-151_blesk	35	2200	15.10.2009_13:04	j	oiuyuuuihhyuij
maserati_girl	3010	50	1000	02.09.2009_10:59	shtany	777778788
kod	3051	29	1600	26.12.2010_10:47	j	30513051
zuoma	115_streech	33	700	05.01.2010_18:30	j	115115
voess	a8001b-2-519	35	1200	19.02.2011_08:43	j	a8001b-2-519
sept	2024	m,m	350	28.02.2010_07:59	maika_man	urfjjjbvjfgd
wallys	1006	29	1300	04.01.2010_21:55	j	gh45013f
burberry	32421	29	2800	19.02.2011_09:50	j	3224232241
mari_fine	3498	1	550	22.03.2010_23:09	maika_girl	34983498
