regass	85751	33	1500	05.01.2010_01:00	j	85751
norm	2237	40	1950	16.10.2009_10:26	jubka	2919036033785
reeb	0925_fiolet	4	1500	10.10.2009_09:25	bluza	kijuhygdfftyuyiu
climber	0088_d032_s01	33	2900	26.08.2010_13:20	j	8698976267033
armani	ep70-d03_btl	40	2500	16.03.2010_02:31	j	0123852960
ottboom	8561_1	30	900	05.01.2010_18:11	j_detskie	85611
jordan	770	34	1900	15.10.2009_13:01	j_girl	kjhgtyjgyuhg
ceo	9278	32	1300	06.10.2010_15:13	j	927892799278
play_boy	3242	l	950	11.09.2009_10:11	tolstovka	hfhfhriiojdfjf
caspita_girl	2729	27	2400	08.01.2010_12:58	j	fgu5689dbl
