climber	0408_g229_s01	29	2900	09.03.2012_11:06	j	0408g229s01
dsqared	2050	29	2800	09.03.2012_11:35	j_girl	20502050
climber	0026_s262_s01	38	2500	09.03.2012_11:03	j	0026s262s01
dsqared	e070_y3	29	1600	22.02.2012_14:43	j	070_y3
sherif	17260	31	2800	07.12.2011_13:45	j_girl	17260
climber	289_d352_m11	30	3200	09.03.2012_11:07	j	289_d352m11
acun	1324	38	2300	07.10.2011_12:27	bruki_girl	13241324
mirac	1512	30	1700	15.10.2009_11:32	j	kjhgcfdftfygftdesvy
mirac	1816	38	1900	14.08.2012_10:45	j	gyt7y88099hi0
mirac	1955	33	2100	07.12.2011_13:49	j	19551955
climber	0073_0021_s03	xl	1300	07.10.2011_11:43	maika	00730021s03
mirac	1941	36	2200	07.12.2011_13:47	j	19411941
sherif	16275	34	2600	07.10.2011_12:01	j_girl	16275
khan	501	l	750	05.10.2012_09:33	futbol	3579809090
climber	0941_g17_s01	42	2500	30.08.2009_13:36	j	000000350051
jordan	630	30	2200	28.08.2009_13:51	j	32112332233
climber	0089_d170_m11	38	3100	15.08.2010_11:06	j	8698976270187
tommy	082	38	2500	07.10.2011_12:00	j	00820082
mirac	1447	34	1900	01.04.2011_11:58	j	896u309295924394u9gj34t
climber	0132_d047	34	3400	29.03.2011_09:41	j	0132d047
armani	031	36	2200	24.12.2009_10:18	j_girl	351014
kula	0378	44	1100	06.03.2011_10:04	rubashla_girl	037803780378
zaffiro	5065_bel	40	1800	05.10.2012_09:31	bluza	2524412152
climber	0282_d369	31	2900	07.12.2011_13:51	j	282d369
mirac	1956	32	2100	07.12.2011_13:47	j	19561956
