climber	0898_d032_m09	38	2900	24.12.2009_09:14	j	8698976202560_000000574747_8698976202522_8698976202539_8698976202546_8698976202553_8698976202492_8698976202508
semco	8240-14	5xl	1300	19.09.2009_12:33	rub_man	3400000044146
metca	3248_black	l	1200	16.10.2009_10:18	triko	hyfghijoikjuhgfd
descolte	8732	52	1600	11.09.2009_10:03	bluza	2552251873202
behcetti	2944	42	1900	04.09.2009_10:32	jubka	2944031
secner	5821	2	1850	21.02.2010_09:02	bluza	58215821
armani	3824	m	2500	18.02.2010_13:17	kurtka_man	38243824
diesel	686	34	2200	24.12.2009_09:42	j	8036254387736
climber	0595_k06_s01	32	2200	22.09.2009_10:26	j	000000287982_000000288002_000000287999
one_more	b-127	28	2500	24.12.2009_10:04	j	b-127
west	333	36	1400	17.02.2010_12:41	j	333333333
mirac	1461	36	1950	30.08.2009_13:43	j	hfd678dgjh
