angelina_mara	011505	25	2700	16.03.2010_03:04	j_girl	011505
mirac	1568_p-bttl	36	1950	24.12.2009_09:53	j	pn_632
armani	4590-1	29	2200	24.12.2009_10:21	j_girl	4590-1
TS	622	30	1600	25.01.2010_23:06	j_girl	622622
nexx	5437	46	2600	10.10.2009_09:11	plate	jfjjdjgvjdjjgjjed
first_lady	1412	l	1500	17.12.2009_10:04	bluza	5551000018533
jordan	076-49	35	1850	04.09.2009_11:18	kapri	h4h4h234h2j
one_more	b-166	27	2500	24.12.2009_10:02	j_girl	b-166
versace	11195	34	2600	16.03.2010_03:13	j	8690000051922_8690000051939_8690000051922
versace	4650	28	2100	24.12.2009_10:22	j_girl	m4690
deco_play_dom	445	30	1850	10.10.2009_11:57	j	00000088
climber	0867_d129_m15	30	3500	28.08.2009_13:37	j	8698976116980_8698976116973_8698976116997_8698976116997_8698976117017_8698976117000
dolce_gabbana	11265	34	2600	16.03.2010_03:19	j_girl	8690000052714
