red_blue	5018	28	1600	30.03.2013_11:10	short	3589789909
tommy	1449	36	3500	30.03.2013_11:21	j	82t9839503252
woom	10170	2xl	1800	12.07.2013_11:35	rub	85282985928952892
nexx	9455	50	2900	05.04.2012_09:37	plat'e	945594559455
fellinaz	971	4	2200	30.03.2013_10:49	bluza	734858929
bolero	3596	7	1850	07.07.2013_10:19	bluza	84184989289898
climber	0766_s040	36	1300	25.11.2012_11:40	rem	0766s040
into	906-0369_ser	54	2200	30.03.2013_11:19	j	82582589592858925
mirac	2069	42	1800	26.05.2013_12:25	shorty	5896757765446788
nexx	4316	38	2500	29.05.2010_12:48	sarafan	757857838982959386987
dzyn_line	11194	36	2100	07.07.2013_10:37	plat'e	5838398398934693
varxdar	7103	28	1500	17.06.2011_10:31	shert	710371037103
