climber	293_s223	29	3100	07.10.2011_11:05	j	293s223
eastern_jazz	278109	34	750	05.01.2010_01:29	j	278109
weaver	yep153k	33	1300	28.08.2009_14:27	j	fdhhkjk557687
zuoma	115_streech	31	700	05.01.2010_18:30	j	115115
ottboom	8561_1	31	900	05.01.2010_18:11	j_detskie	85611
kaptan	4625	xl-2xl	1700	28.10.2009_10:32	sviter	4625BY
voes	80012938_utep	30	1600	11.11.2011_11:42	j_utep	velvet
alfa_sel	2042	l	1700	07.10.2011_12:14	poluver	20422042
prodlgy	67011	33	1700	28.02.2010_02:25	j	67011
racing_car	1059	33	1700	27.09.2011_09:46	j	10591059
machine	ma58-11	34	1700	01.11.2011_11:16	j	ma58-11
climber	0089_d203_s01	31	3200	06.11.2010_14:11	j	8698976271320
climber	0992_d146_s01	44	3200	30.08.2009_13:44	j	8698976066650_8698976079759_8698976079742_8698976079766
Calvin_Klein	19112	36	1500	11.11.2011_12:04	j_utep	19112utep
alfa_sel	2031	m	1700	07.10.2011_12:13	poluver	20312031
barkadie	bk007	36	1300	11.11.2011_11:46	j_utep	bk007utep
