jack_polo	14001	m	1350	14.07.2012_11:06	rub	1400114001
jack_polo	1565	m	950	20.08.2010_12:30	rub_man	asdasdasd44
climber	0232_g160_s02	29	2700	26.08.2012_10:24	j	878768808909089786
climber	0223_o002_b069	2xl	1400	30.03.2013_11:24	batnik	82582759895
climber	0301_g221_s08	33	2900	02.06.2012_09:48	j	0301g221s08
into	8016_black	l	850	09.03.2012_10:58	maika	8016black
into	152	46	1800	23.05.2013_11:17	kapri	888283829349588492
jordan	605	29	1950	01.04.2011_11:21	j	0014jrjjfjfj
tommy	1449	38	3500	30.03.2013_11:21	j	82t9839503252
climber	0392_g236_s005	38	2800	09.03.2012_11:15	j	0392g236s005
into	8016_bezh	3xl	850	09.03.2012_10:56	maika	8016_bazh
rivi	6725	4xl	700	30.05.2012_14:44	maik	672567256725
bovona	57424	38	2300	30.03.2013_10:46	bluza	75774838
mcl	23245_bel	l	950	26.06.2010_13:49	maika_man	766554434354678976543
jp	17701_golub	l	1250	07.09.2012_13:23	rub	1770117701
berton	03	39	800	24.04.2010_23:03	rub_man	ggjj5689fdhjju354
