climber	b214_s116_d16	38	2800	30.05.2011_10:34	j	b214s116d16
marvel	5004	44	2200	01.07.2011_11:03	sarafan	50045004
climber	0926_t04_m01	33	1900	01.04.2011_11:23	j	000000263535_000000263542_000000263566_000000263573_000000263559_000000263580
levis	630_paelament	33	1400	03.05.2010_20:53	j	8jjh87hg45rf
semco	8067-01	xl	1300	14.04.2010_21:59	rubascka_men	3400000033096
climber	0209_g157	32	2700	25.03.2011_09:59	j	0209g157
tommy	509	32	1800	14.04.2010_00:13	j	9115432768
dsquared	053422_zelen	xl	600	26.05.2010_11:07	sherty_man	76765655677654
modakol	3706	42	1900	01.07.2011_15:41	kapri	37063706
jack_polo	1565	l	950	20.08.2010_12:30	rub_man	asdasdasd44
climber_wihte	0857_g073_w04	29	2600	30.04.2010_19:31	j	8698976130580_8698976130559_8698976130573_8698976130610_8698976130597
climber	0077_0082_seraja	m	800	25.03.2011_10:54	maika_man	00770082seraja
climber	0232_g160_s02	33	2700	05.06.2011_09:47	j	0232g160s02
jp	1570	l	1200	30.06.2011_10:09	rub_man	097865e42435678
