mirac	1756	36	2300	06.11.2010_12:54	j	17561756
mirac	1752	36	2200	06.11.2010_12:52	j	17521752
climber	0081_d032_s01	30	2900	14.08.2010_11:22	j	8698976265503
jordan	760-1049	32	2800	06.11.2010_11:26	j_girl	760-1049
lacarino	8902	25	2800	23.12.2010_14:05	j_girl	89028902
bigrey	0086026	s	950	11.09.2009_10:24	maika_girl	FW076009304109L_FW076009304109S_FW076009304109M
soner	2022	40	2200	22.09.2009_12:46	kurtka_girl	lgyftfyiuugyu
deco_play_girl	09	30	2300	15.10.2009_14:37	j_girls	lkiuytdsxdcfghjio
blue_petrol	103_black	m	1100	16.10.2009_10:24	maika_girl	lkjuhykfrujfjjfj
tamko	8003_seryi	2xl	1100	22.12.2010_13:35	sviterok	8003seryi
tamko	5332	m	800	23.12.2010_16:19	maika_man	53225322
climber	0826_g055_s01	33	2850	25.12.2010_15:46	j	8698976098521_8698976098538_8698976098552_8698976098569_8698976098545
marco_star	8515_krasn	l	700	23.09.2009_08:42	maika_men	kkrkfkkjk4jm3
